자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2021.09.30.00,27,28,28,23,48,53,31,31,47,25,29,24,25,27,36,45,64,36,35,27,39,10,49,62,57
2021.09.29.00,23,37,24,24,36,66,26,41,25,35,29,47,30,47,27,41,55,31,43,28,48,19,45,68,51
2021.09.28.00,20,23,28,19,34,56,18,54,20,28,37,17,18,17,27,50,58,16,41,23,23,16,50,57,29
2021.09.27.00,32,27,13,19,38,29,26,25,28,25,25,39,27,22,13,29,72,19,40,28,37,20,43,54,17
2021.09.26.00,31,24,32,39,34,57,35,31,42,25,27,31,27,30,20,48,31,39,35,21,37,35,37,88,41
2021.09.25.00,20,35,25,42,55,67,44,49,24,29,52,37,34,42,34,61,80,33,51,37,66,27,64,112,54
2021.09.24.00,16,23,12,27,53,38,34,26,28,17,26,27,17,32,21,47,56,13,47,40,32,23,49,101,40
2021.09.23.00,18,34,9,20,22,24,19,25,23,18,21,16,12,22,18,38,33,14,38,19,34,20,38,53,27
2021.09.22.00,12,9,9,19,30,23,22,29,19,19,24,30,16,24,15,32,53,25,32,18,32,14,23,59,33
2021.09.21.00,18,30,16,17,33,31,13,48,34,21,31,21,14,31,21,28,48,19,24,18,29,16,33,45,17
2021.09.20.00,15,12,7,24,19,25,23,28,18,13,28,18,15,25,22,19,37,18,28,16,28,22,21,55,19
2021.09.19.00,13,23,14,15,24,42,22,30,17,24,28,24,19,34,18,26,57,11,43,17,37,26,36,68,30
2021.09.18.00,16,24,10,12,21,30,14,24,16,24,27,24,16,17,40,28,51,10,35,20,36,21,33,72,36
2021.09.17.00,13,17,6,13,11,33,25,16,17,16,34,29,25,33,21,34,67,26,34,19,34,29,65,64,23
2021.09.16.00,12,20,7,17,19,24,8,20,13,17,23,30,29,47,17,30,65,17,42,26,29,24,45,67,25
2021.09.15.00,9,13,13,14,28,33,20,24,18,20,23,38,21,42,28,30,61,17,59,29,36,31,56,80,25
2021.09.14.00,6,15,11,14,29,19,13,13,13,13,19,39,7,17,17,25,39,15,28,18,24,24,32,44,19
2021.09.13.00,7,10,11,28,21,26,18,24,8,12,29,24,12,25,11,19,28,21,30,23,30,17,24,40,22
2021.09.12.00,10,11,18,21,40,22,23,28,15,15,27,37,14,11,17,32,36,10,33,23,43,21,34,52,31
2021.09.11.00,6,12,12,15,38,29,13,20,21,17,21,38,10,23,14,21,39,25,54,24,40,18,41,52,23
2021.09.10.00,9,8,18,21,35,21,22,18,22,8,12,50,15,30,19,19,53,23,41,26,32,19,34,49,33
2021.09.09.00,5,22,13,20,29,20,27,18,11,15,18,24,25,26,19,21,48,14,45,22,45,24,38,52,24
2021.09.08.00,10,12,16,14,36,20,26,24,14,13,8,50,21,19,16,16,52,19,50,20,44,24,41,34,23
2021.09.07.00,7,12,8,11,21,14,10,16,13,10,17,24,11,27,10,21,40,21,35,20,18,16,33,34,18
2021.09.06.00,6,10,3,14,20,12,17,18,4,12,18,28,7,9,12,18,41,11,23,20,40,17,34,21,20
2021.09.05.00,2,16,9,21,24,18,17,15,6,5,20,32,15,12,13,27,30,12,21,16,44,17,46,28,19
2021.09.04.00,6,12,12,16,22,18,22,13,9,6,14,41,14,16,21,20,28,18,36,26,32,27,48,35,31
2021.09.03.00,5,12,10,13,18,25,26,13,8,13,20,35,10,17,18,16,29,13,33,32,27,29,38,36,24
2021.09.02.00,6,15,8,23,21,23,27,13,8,8,19,23,10,17,29,21,36,20,33,21,31,20,40,41,22
2021.09.01.00,16,16,12,16,20,27,23,13,12,17,12,33,22,14,27,27,31,19,32,23,35,33,72,48,30
