자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2022.10.26.00,90,100,149,245,273,238,297,344,220,253,360,351,222,311,380,496,303,138,275,317,412,302,363,462,350
2022.10.25.00,136,121,182,312,308,305,399,441,249,371,537,445,316,413,390,609,363,233,391,409,561,299,479,685,440
2022.10.24.00,21,16,38,85,74,86,88,93,62,63,135,185,60,96,129,167,51,40,72,87,97,113,146,159,115
2022.10.23.00,49,51,103,118,179,191,193,218,133,183,263,209,146,215,278,338,203,117,198,230,271,211,280,330,206
2022.10.22.00,71,62,111,186,155,223,215,231,154,186,315,308,159,231,275,397,242,114,205,239,278,187,291,445,265
2022.10.21.00,67,60,103,139,165,176,181,177,129,142,238,247,178,192,219,340,225,107,171,214,251,199,265,306,199
2022.10.20.00,79,57,113,142,176,181,178,239,127,180,254,250,171,217,227,335,201,118,193,209,270,193,296,371,227
2022.10.19.00,84,57,117,167,181,190,232,261,141,195,268,298,195,219,237,414,206,124,201,228,291,235,271,369,248
2022.10.18.00,93,80,140,230,221,262,289,291,177,242,387,303,263,311,315,457,305,171,265,299,347,273,393,569,359
2022.10.17.00,30,22,31,42,43,59,58,62,42,44,127,125,46,61,103,167,40,33,61,61,86,114,111,138,110
2022.10.16.00,53,62,85,138,141,125,165,188,120,120,235,205,124,158,191,260,168,72,156,175,230,167,168,263,185
2022.10.15.00,53,45,102,133,168,139,175,204,104,149,223,231,143,161,172,264,155,100,173,207,232,185,229,269,217
2022.10.14.00,61,75,114,117,155,133,163,216,129,172,237,226,147,164,186,292,194,96,211,194,228,160,208,351,227
2022.10.13.00,75,68,110,120,175,176,148,270,144,133,238,272,177,183,215,329,209,121,196,176,232,185,284,366,259
2022.10.12.00,83,74,126,204,213,242,222,326,197,240,353,303,224,268,273,392,257,129,278,281,343,204,313,431,363
2022.10.11.00,30,30,57,86,115,70,125,141,115,103,169,94,99,112,142,182,117,64,95,140,179,138,156,230,143
2022.10.10.00,22,22,22,47,38,45,30,53,41,31,92,106,48,73,68,89,45,22,68,49,60,46,109,93,83
2022.10.09.00,43,60,74,81,109,115,107,183,118,119,207,151,105,164,174,196,123,79,127,157,172,159,193,237,135
2022.10.08.00,55,62,70,96,152,134,149,176,116,118,184,189,108,166,163,241,147,82,148,134,190,127,180,285,193
2022.10.07.00,68,68,81,108,139,132,168,198,121,143,230,193,129,166,180,252,165,80,159,170,201,160,194,274,222
2022.10.06.00,102,72,118,128,177,169,177,266,149,158,301,282,200,190,203,282,236,82,204,228,264,244,265,367,266
2022.10.05.00,128,79,178,215,242,306,285,314,212,257,394,337,242,296,291,401,333,139,318,299,344,264,359,513,418
2022.10.04.00,42,45,52,85,94,78,104,139,83,113,171,144,103,114,145,191,126,57,113,119,133,117,187,209,160
2022.10.03.00,26,27,34,48,46,79,60,68,40,79,122,147,67,71,102,128,51,40,99,72,101,67,93,141,102
2022.10.02.00,63,74,97,143,171,140,199,217,124,146,269,229,134,193,211,285,215,88,185,164,218,192,247,303,246
2022.10.01.00,67,70,112,167,186,200,195,246,153,159,279,296,173,198,228,276,210,144,251,231,240,185,255,358,290
2022.09.30.00,65,78,134,135,173,207,218,243,147,177,286,254,175,225,235,325,225,130,219,260,323,191,284,351,279
2022.09.29.00,69,69,139,159,201,194,211,275,164,212,313,288,200,245,283,330,237,150,246,233,319,198,341,414,286
2022.09.28.00,85,77,149,210,227,235,207,328,200,177,369,354,208,279,272,446,280,172,299,261,361,237,332,482,346
2022.09.27.00,115,109,196,260,281,265,331,432,248,322,455,331,307,325,330,484,335,226,379,371,417,253,369,557,350
2022.09.26.00,22,20,55,62,72,78,56,74,62,58,149,167,78,78,104,168,76,38,120,83,99,100,131,149,119
2022.09.25.00,52,63,89,141,169,141,166,203,161,133,261,217,126,153,212,308,227,122,179,207,270,202,216,391,239
2022.09.24.00,64,74,123,186,191,181,195,229,170,182,282,237,171,175,265,344,254,128,233,200,294,201,261,352,263
2022.09.23.00,78,76,110,156,188,202,194,259,150,148,284,281,188,181,228,306,233,132,263,239,260,200,275,322,284
2022.09.22.00,89,90,106,194,219,194,212,251,189,209,326,283,209,230,241,378,248,134,249,270,283,223,292,342,265
2022.09.21.00,83,100,152,215,271,240,270,327,199,206,356,372,226,283,300,421,312,163,341,278,373,264,298,433,364
2022.09.20.00,138,119,174,254,339,347,371,415,276,329,567,400,331,328,417,565,422,223,464,366,472,284,442,634,462
2022.09.19.00,39,37,53,69,110,120,78,111,94,95,249,231,89,110,172,225,96,63,122,100,124,134,170,170,174
2022.09.18.00,68,70,104,142,220,177,200,286,197,209,329,246,203,207,302,378,226,137,235,241,374,241,271,341,292
2022.09.17.00,107,86,151,204,276,246,281,362,226,228,413,380,247,226,344,411,369,141,327,294,476,245,296,485,340
2022.09.16.00,146,105,172,257,347,311,346,423,261,262,486,454,271,332,376,513,391,211,370,341,482,329,397,605,449
2022.09.15.00,163,111,228,273,439,425,413,604,323,376,609,549,320,402,575,712,530,231,479,468,641,418,521,690,496
2022.09.14.00,229,173,343,450,582,631,828,638,488,559,892,721,502,633,823,1064,880,482,844,728,873,560,692,980,877
2022.09.13.00,89,109,147,247,341,331,417,450,310,292,556,410,306,387,466,642,417,209,294,420,486,359,419,539,519
2022.09.12.00,81,51,117,133,244,159,195,223,154,172,382,334,177,214,318,443,261,144,294,261,341,235,313,389,255
2022.09.11.00,58,68,82,130,167,178,180,226,147,127,233,288,159,201,238,230,161,97,151,166,209,193,266,300,252
2022.09.10.00,58,83,97,145,169,189,209,281,200,196,329,299,166,208,277,459,232,111,225,253,307,309,268,362,293
2022.09.09.00,186,134,222,314,428,406,516,537,333,349,628,521,384,470,578,629,499,335,482,508,680,515,605,724,536
2022.09.08.00,164,164,288,338,439,451,452,567,345,362,673,622,360,484,622,736,572,338,510,534,697,491,575,900,541
2022.09.07.00,189,143,300,367,420,484,511,592,422,453,755,721,468,501,649,890,667,373,595,591,752,535,729,803,645
2022.09.06.00,254,198,344,496,628,643,756,797,550,649,883,718,581,704,828,1103,887,534,780,791,933,635,857,1361,822
2022.09.05.00,76,47,92,116,189,179,144,187,119,167,301,370,166,186,256,342,165,115,200,191,261,242,307,363,253
2022.09.04.00,165,133,209,300,412,412,459,536,372,351,634,555,353,407,581,634,531,313,453,497,609,479,549,791,577
2022.09.03.00,154,163,244,343,500,444,459,531,376,412,717,662,399,537,603,820,663,344,558,625,694,528,682,886,626
2022.09.02.00,190,160,322,400,489,454,560,627,402,497,844,714,448,523,684,917,744,373,635,635,775,600,795,1019,734
2022.09.01.00,204,147,240,323,461,401,455,565,341,439,642,633,399,486,549,723,621,344,544,524,693,500,660,929,602
2022.08.31.00,211,162,319,445,510,458,519,603,422,483,818,827,493,566,695,913,721,428,633,659,775,650,782,1015,743
2022.08.30.00,280,231,425,522,648,633,917,814,570,699,985,795,671,772,855,1153,882,511,877,888,969,726,1114,1404,921
2022.08.29.00,59,58,110,140,212,181,148,204,153,121,331,312,171,222,289,403,173,116,209,220,284,280,326,336,329
2022.08.28.00,142,143,253,340,486,387,443,571,413,408,683,674,363,429,672,823,549,290,493,574,681,537,640,808,608
2022.08.27.00,183,172,314,419,472,451,556,651,384,431,667,632,462,518,602,835,627,349,589,593,723,603,741,1009,661
2022.08.26.00,216,177,278,412,558,509,542,650,451,485,743,735,483,588,713,926,618,396,687,610,830,645,806,950,693
2022.08.25.00,221,201,357,414,650,524,608,657,514,551,871,898,570,659,812,1115,711,420,690,673,920,608,856,1236,818
2022.08.24.00,270,271,383,612,734,643,730,858,594,631,939,1034,667,749,885,1137,845,481,864,787,1052,783,995,1346,919
2022.08.23.00,344,349,524,702,855,867,1032,1045,673,846,1343,1090,875,938,1129,1492,1124,644,1152,1104,1181,782,1257,1783,1110
2022.08.22.00,98,74,139,158,239,224,224,233,222,222,423,450,220,314,368,542,191,159,320,280,358,367,388,452,338
2022.08.21.00,171,174,316,480,572,521,595,703,449,498,897,907,495,607,724,951,739,412,660,714,905,714,807,1188,753
2022.08.20.00,272,257,367,546,738,669,738,872,606,632,1040,958,621,768,865,1178,756,412,840,791,1057,703,923,1209,859
2022.08.19.00,254,274,423,622,784,596,664,892,655,630,989,955,590,787,910,1188,849,533,865,829,1223,752,993,1401,947
2022.08.18.00,385,376,653,750,999,832,1070,1220,769,784,1422,1349,888,1009,1162,1599,1161,701,1100,1219,1483,1154,1309,1756,1366
2022.08.17.00,394,365,824,985,1083,987,1310,1208,826,982,1582,1345,1085,1281,1441,1857,1451,810,1487,1367,1726,1159,1630,2088,1432
2022.08.16.00,112,142,179,362,423,346,435,630,341,487,932,657,489,472,586,791,409,258,469,504,626,609,711,817,658
2022.08.15.00,110,107,191,238,253,284,230,339,214,185,484,473,299,309,361,501,232,154,332,332,407,258,481,531,479
2022.08.14.00,257,198,375,547,713,558,657,908,598,575,1080,986,619,695,858,1138,860,424,718,778,1024,856,946,1331,921
