자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2022.03.19.00,1061,912,1740,2274,2655,2695,2930,3569,2027,2228,4846,3606,2177,2734,3689,3985,3356,1914,4661,3209,4678,2930,5317,4816,2955
2022.03.18.00,1172,977,2045,2649,2982,3197,2820,3751,2248,2565,2898,3556,3283,2706,3722,6367,3122,1950,3703,3020,3066,2802,3892,5107,3628
2022.03.17.00,1826,1761,3283,3606,4895,4954,4937,6709,3565,4110,5866,5070,3991,4822,4892,7135,5901,3525,5432,5941,7298,4731,5427,6998,4390
2022.03.16.00,1570,1176,1048,2316,2243,2409,3083,2551,2259,2387,3832,4832,2157,2841,4261,3109,3492,2090,2598,3039,4640,3598,2764,7432,5289
2022.03.15.00,582,801,1195,2197,2371,2688,3258,2949,2404,2216,5087,2891,3262,2664,2671,3308,2214,1541,2325,1893,3013,2332,2697,3737,2607
2022.03.14.00,859,641,1214,1750,2784,1975,2053,2303,1520,1746,2421,2588,1011,2339,2419,3104,2936,1733,2302,2527,2593,1834,2785,4412,1834
2022.03.13.00,996,905,1487,2136,1945,2656,2744,3343,2065,2296,2401,3196,1278,2589,2840,4280,2496,1419,2378,2985,3645,2498,3193,4756,3065
2022.03.12.00,981,962,1698,2592,2864,2868,3361,3373,2386,2498,3842,3698,2852,2946,3208,4335,3260,1492,3571,3198,3912,3114,4044,4957,3742
2022.03.11.00,815,763,977,1883,2037,2101,1929,2602,1426,1682,2522,2574,2132,2072,3155,2828,2177,1371,1977,2330,2808,2754,2810,3555,1954
2022.03.10.00,869,801,1401,2030,2525,2238,2458,3116,1864,1911,3080,3050,1168,2346,2329,4426,2860,1648,2868,2838,4157,2322,2805,4374,3117
2022.03.09.00,1103,945,1562,2373,2734,2835,3131,3218,2224,2275,3440,3144,2210,2670,2961,4191,3236,1712,3308,3207,3334,2869,3357,4787,3359
