자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2021.06.30.00,1,9,15,18,18,18,6,12,12,11,7,14,6,20,9,27,8,4,12,12,11,23,49,18,15
2021.06.29.00,2,2,6,4,14,6,4,10,5,1,6,8,6,13,6,11,8,1,7,3,3,11,36,11,10
2021.06.28.00,3,2,7,7,10,6,4,6,3,3,7,10,3,7,12,6,6,5,7,6,3,7,30,11,6
2021.06.27.00,5,2,9,27,8,4,4,11,1,1,7,12,17,10,5,9,12,1,9,8,4,9,28,16,7
2021.06.26.00,4,1,10,13,13,3,8,9,5,5,10,13,10,16,3,11,7,8,11,8,8,9,38,13,16
2021.06.25.00,4,7,8,13,7,5,6,15,4,2,13,14,9,19,5,5,13,2,20,3,17,18,31,8,10
2021.06.24.00,6,6,9,14,1,1,3,7,6,4,11,13,5,10,4,17,6,2,15,4,12,16,34,17,12
2021.06.23.00,1,2,8,8,10,8,5,12,1,6,14,6,8,6,12,15,5,1,11,9,21,13,27,7,11
2021.06.22.00,0,0,5,3,5,3,4,8,5,1,1,3,1,4,8,6,2,1,4,3,9,8,26,8,4
2021.06.21.00,0,2,6,8,7,3,2,6,2,3,5,6,1,4,6,3,9,2,5,6,6,7,21,7,2
2021.06.20.00,3,2,9,6,8,6,9,5,2,2,10,8,3,7,7,7,8,6,22,9,4,8,18,17,2
2021.06.19.00,3,2,9,6,8,6,9,5,2,2,10,8,3,7,7,7,8,6,22,9,4,8,18,17,2
2021.06.18.00,2,2,14,6,7,8,3,11,1,1,14,3,1,8,7,3,5,2,10,8,13,13,19,16,9
2021.06.17.00,1,5,13,6,7,9,9,8,2,7,6,2,1,11,4,6,3,3,6,8,18,14,30,12,4
2021.06.16.00,1,2,11,10,14,9,6,1,10,4,1,7,4,8,3,5,6,3,8,2,12,16,31,14,8
2021.06.15.00,2,2,2,3,2,8,4,1,5,3,6,0,2,5,5,4,2,1,3,5,4,8,24,14,11
2021.06.14.00,3,2,9,4,8,7,3,5,2,1,3,5,1,6,2,1,2,2,4,2,7,8,17,7,7
2021.06.13.00,1,1,6,4,6,14,3,4,4,4,6,5,10,7,5,1,3,5,6,5,3,9,27,19,5
2021.06.12.00,2,2,8,9,10,10,4,5,11,1,11,7,8,7,9,5,3,4,4,6,19,12,18,14,5
2021.06.11.00,4,8,14,3,5,10,2,11,13,2,9,8,6,7,11,1,8,2,6,2,10,8,24,11,10
2021.06.10.00,5,5,11,6,6,6,6,5,6,4,7,6,8,3,3,9,6,2,12,11,5,15,32,15,7
2021.06.09.00,1,2,10,5,4,3,3,2,0,3,5,11,3,10,5,5,4,3,16,8,8,11,26,14,6
2021.06.08.00,1,2,9,4,5,2,4,8,3,2,5,4,1,5,5,7,6,4,8,4,3,9,14,9,10
2021.06.07.00,2,5,9,4,2,5,5,6,5,1,3,4,3,4,4,4,4,4,8,12,15,8,10,17,9
2021.06.06.00,1,4,4,6,3,4,6,7,3,1,12,8,5,8,5,7,2,6,6,13,9,10,18,17,7
2021.06.05.00,2,7,2,7,13,6,10,16,10,3,23,8,3,5,10,2,7,2,15,12,7,19,22,26,16
2021.06.04.00,1,2,5,7,12,7,7,9,2,5,8,6,6,9,4,4,3,5,3,16,8,7,16,28,20
2021.06.03.00,2,2,8,3,6,7,8,8,10,6,9,4,9,13,8,11,1,5,6,10,7,7,20,17,17
2021.06.02.00,1,2,6,9,8,7,25,9,13,11,8,8,8,7,4,5,2,9,4,11,6,18,25,17,14
2021.06.01.00,0,1,0,2,5,3,6,13,16,7,11,5,5,3,3,6,4,4,3,3,2,8,20,8,4
2021.05.31.00,0,1,2,7,2,5,12,4,7,2,8,0,3,8,5,6,2,8,5,4,4,3,14,10,7
2021.05.30.00,3,0,4,5,6,7,4,11,6,5,12,2,13,5,5,6,5,5,1,4,5,5,16,16,6
2021.05.29.00,1,2,15,6,10,3,13,6,4,5,10,2,7,10,1,3,6,4,6,3,3,12,15,28,7
2021.05.28.00,2,7,10,7,3,8,7,5,8,6,12,9,9,8,8,9,13,7,10,4,4,10,14,15,6
2021.05.27.00,4,0,6,8,7,4,13,7,6,2,11,9,11,9,4,4,5,2,8,6,7,17,19,22,16
2021.05.26.00,5,4,12,11,11,1,13,10,14,8,14,3,15,5,5,7,8,8,16,7,9,21,17,17,17
2021.05.25.00,0,1,7,3,0,4,10,9,4,5,7,6,5,3,0,2,6,10,2,3,2,9,10,14,14
2021.05.24.00,1,2,2,7,8,8,5,4,3,3,10,3,5,1,1,2,2,1,5,9,5,3,12,16,13
2021.05.23.00,3,2,5,2,11,2,6,8,6,2,12,7,6,6,1,4,6,6,7,10,9,4,9,26,17
2021.05.22.00,3,5,5,6,15,7,10,6,5,6,12,11,6,10,6,9,1,6,8,5,4,9,15,18,10
2021.05.21.00,0,1,5,4,10,7,10,5,8,2,13,5,4,8,7,5,3,6,8,4,4,3,12,20,10
2021.05.20.00,3,4,3,5,7,19,7,14,2,7,11,7,11,3,5,13,11,7,12,7,11,6,25,24,13
2021.05.19.00,6,5,3,5,5,5,10,8,7,9,10,8,5,11,10,10,12,5,12,11,9,9,32,17,13
2021.05.18.00,4,2,4,2,9,7,3,8,14,9,9,7,1,3,4,5,7,2,8,4,6,6,15,12,12
2021.05.17.00,2,1,2,6,10,8,8,11,8,7,14,4,9,6,7,3,14,1,7,13,7,3,13,12,17
2021.05.16.00,6,4,2,3,8,6,12,14,8,10,14,7,10,2,8,7,5,4,11,6,7,6,29,7,9
2021.05.15.00,5,1,7,3,3,9,17,12,16,17,19,8,3,7,2,8,14,7,17,8,13,9,16,13,6
2021.05.14.00,1,2,4,7,2,8,7,10,19,12,20,3,5,6,4,8,6,4,8,8,17,15,11,18,12
2021.05.13.00,7,1,6,10,6,11,14,4,11,9,20,8,2,10,7,5,7,4,9,5,9,12,18,11,16
2021.05.12.00,1,5,7,2,5,7,9,12,9,8,10,8,7,0,12,7,11,9,12,7,15,14,20,8,7
2021.05.12.00,1,5,7,2,5,7,9,12,9,8,10,8,7,0,12,7,11,9,12,7,15,14,20,8,7
2021.05.11.00,0,2,4,7,7,11,9,7,13,7,10,7,3,3,7,6,3,4,7,10,3,6,13,5,5
2021.05.10.00,0,2,3,7,7,8,8,10,4,4,7,11,0,4,9,4,1,0,1,6,7,6,13,7,9
2021.05.09.00,3,4,1,7,8,6,4,16,8,13,16,8,3,10,8,5,4,5,4,13,3,8,17,8,5
2021.05.08.00,1,6,3,8,7,13,3,14,15,11,14,15,10,5,6,11,2,3,5,7,4,6,38,13,12
2021.05.07.00,0,1,3,9,6,4,7,3,14,12,7,15,3,2,3,3,13,4,11,3,11,6,11,13,6
