자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2021.03.10.00,2,1,9,3,18,5,5,4,5,7,4,14,4,2,4,3,6,3,6,0,1,7,6,6,5
2021.03.09.00,1,1,9,1,4,1,5,0,5,2,2,13,0,1,4,3,7,1,11,1,2,5,6,4,7
2021.03.08.00,0,1,2,4,10,1,7,6,1,5,7,7,0,1,4,2,1,0,4,1,2,2,3,10,11
2021.03.07.00,0,2,3,2,14,5,4,3,1,8,12,7,0,7,5,1,3,1,6,11,2,3,5,3,10
2021.03.06.00,4,2,1,9,4,6,2,5,3,5,13,10,4,4,5,1,4,0,5,3,3,4,11,6,3
2021.03.05.00,1,1,1,3,9,4,13,4,8,6,12,10,2,2,0,2,0,1,7,6,5,2,9,6,8
2021.03.04.00,2,2,3,4,8,10,3,8,0,5,6,11,4,3,0,4,3,0,2,8,1,4,10,3,12
2021.03.03.00,0,2,0,7,10,4,4,12,4,3,5,15,0,6,3,4,2,0,5,6,0,3,8,4,7
2021.03.02.00,2,1,4,4,8,4,1,8,4,3,10,7,0,5,4,5,3,1,3,10,1,9,8,5,11
2021.03.01.00,2,1,5,2,3,4,3,5,3,1,9,3,0,1,4,1,2,2,14,7,2,4,1,3,3
